card_id,skill_name_kr,skill_name_en,target,damage,hits,cooldown,effects,description_kr,description_en
C004_T1,연격,Pack Slash,ENEMY,6,2,2,bleed:1,단일 적 2회 타격(각 6) + 출혈 1,Strike a single enemy twice (6 each) + Bleed 1
C004_T2,연격,Pack Slash,ENEMY,9,2,2,bleed:2,단일 적 2회 타격(각 9) + 출혈 2,Strike a single enemy twice (9 each) + Bleed 2
C005_T1,돌진 박치기,Charge Ram,ENEMY,15,1,3,vulnerable:2,단일 적 큰 피해 + 취약 2턴,Deal heavy damage to one enemy + Vulnerable 2 turns
C005_T2,돌진 박치기,Charge Ram,ENEMY,22,1,3,vulnerable:2;stun:1,단일 적 큰 피해 + 취약 2턴 + 기절 1턴,Deal heavy damage to one enemy + Vulnerable 2 turns + Stun 1 turn
C008_T1,패왕의 포효,Apex Roar,ALL_ENEMY,12,1,BATTLE,weak:2;self_block:8,전체 12 피해 + 약화 2턴 + 자신 보호막 8,Deal 12 to all enemies + Weak 2 turns + Self 8 Block
C008_T2,패왕의 포효,Apex Roar,ALL_ENEMY,18,1,BATTLE,weak:2;vulnerable:1;self_block:12,전체 18 피해 + 약화 2턴 + 취약 1턴 + 자신 보호막 12,Deal 18 to all enemies + Weak 2 turns + Vulnerable 1 turn + Self 12 Block
C010_T1,정찰 드론,Recon Drone,ENEMY,3,1,1,draw:1,가장 약한 적에 3 피해 + 카드 1장 드로우,Deal 3 to the weakest enemy + Draw 1 card
C010_T2,정찰 드론,Recon Drone,ENEMY,5,1,1,draw:2,가장 약한 적에 5 피해 + 카드 2장 드로우,Deal 5 to the weakest enemy + Draw 2 cards
C012_T1,광혈 발작,Blood Rage,ENEMY,16,1,2,self_hp:-3,자신 HP -3 + 단일 적에 16 피해,Self HP -3 + Deal 16 to a single enemy
C012_T2,광혈 발작,Blood Rage,ENEMY,24,1,2,self_hp:-4;bleed:2,자신 HP -4 + 단일 적에 24 피해 + 출혈 2,Self HP -4 + Deal 24 to a single enemy + Bleed 2
C018_T1,타이런트 베어,Tyrant's Bear,ENEMY,14,1,3,self_attack:2,단일 적에 14 피해 + 자신 ATK 영구 +2,Deal 14 to a single enemy + Permanent self ATK +2
C018_T2,타이런트 베어,Tyrant's Bear,ENEMY,20,1,3,self_attack:3,단일 적에 20 피해 + 자신 ATK 영구 +3,Deal 20 to a single enemy + Permanent self ATK +3
C019_T1,그림자 도약,Shadow Leap,SELF,0,1,3,next_attack_mult:2.0;draw:1,다음 1회 자신 공격 ×2.0 + 카드 1장 드로우,Next attack ×2.0 + Draw 1 card
C019_T2,그림자 도약,Shadow Leap,SELF,0,1,3,next_attack_mult:2.2;draw:2;weak:1,다음 1회 자신 공격 ×2.2 + 카드 2장 드로우 + 적 1체 약화 1턴,Next attack ×2.2 + Draw 2 cards + Weaken 1 enemy 1 turn
C020_T1,다중 강타,Multi-Strike,LOWEST_HP_2,7,1,3,,가장 HP 낮은 적부터 2체에 각 7 피해,Deal 7 to the 2 lowest-HP enemies
C020_T2,다중 강타,Multi-Strike,LOWEST_HP_3,9,1,3,,가장 HP 낮은 적부터 3체에 각 9 피해,Deal 9 to the 3 lowest-HP enemies
C021_T1,위협의 포효,Threat Howl,ALL_ENEMY,0,1,3,enemy_attack:-1;weak:1,전체 적 ATK 영구 -1 + 약화 1턴,All enemies permanent ATK -1 + Weak 1 turn
C021_T2,위협의 포효,Threat Howl,ALL_ENEMY,0,1,3,enemy_attack:-2;weak:2;vulnerable:1,전체 적 ATK 영구 -2 + 약화 2턴 + 취약 1턴,All enemies permanent ATK -2 + Weak 2 turns + Vulnerable 1 turn
C022_T1,종말 일격,Doom Strike,ENEMY,17,1,3,execute_threshold:12,단일 적에 17 피해. 이 공격에 한해 HP ≤ 12면 즉사,Deal 17 to a single enemy. Execute if HP ≤ 12 from this strike
C022_T2,종말 일격,Doom Strike,ENEMY,24,1,3,execute_threshold:18;bleed:2,단일 적에 24 피해. 이 공격에 한해 HP ≤ 18면 즉사 + 출혈 2,Deal 24 to a single enemy. Execute if HP ≤ 18 + Bleed 2
